cidade,estado,bairro,tipo,m2,quartos,banheiros,garagem,valor,endereco,link
Goiania,GO,Setor Coimbra,APARTAMENTO,59²,2,2,, 4000Cond: 450,Rua 250,https://www.chavesnamao.com.br/imovel/apartamento-para-alugar-2-quartos-com-garagem-go-goiania-setor-coimbra-59m2-RS4000/id-31899359/
Goiania,GO,Jardim Novo Mundo,TERRENO,474²,,,, 450000Iptu: 150,Avenida Canaã,https://www.chavesnamao.com.br/imovel/terreno-a-venda-go-goiania-jardim-novo-mundo-474m2-RS450000/id-25888809/
Goiania,GO,Setor Bueno,SETOR,77²,3,2,, 2800Cond: 510,Rua T 38,https://www.chavesnamao.com.br/imovel/apartamento-para-alugar-3-quartos-com-garagem-go-goiania-setor-bueno-132m2-RS2800/id-29996210/
Goiania,GO,Residencial Petrópolis,JARDIM,98²,3,2,2,430000.0,"Rua Fortaleza, 00",https://www.chavesnamao.com.br/imovel/casa-a-venda-3-quartos-com-garagem-go-goiania-residencial-petropolis-250m2-RS430000/id-29020519/
Goiania,GO,Setor Marista,APARTAMENTO,114²,3,5,2, 6500Cond: 747,"Rua 147, 170",https://www.chavesnamao.com.br/imovel/apartamento-para-alugar-3-quartos-com-garagem-go-goiania-setor-marista-170m2-RS6500/id-20137998/
Goiania,GO,Residencial Eldorado,AP.,64²,2,1,, 1500Cond: 450,"Avenida Nápoli, 681",https://www.chavesnamao.com.br/imovel/apartamento-para-alugar-2-quartos-com-garagem-go-goiania-residencial-eldorado-RS1500/id-29285523/
Goiania,GO,Setor Bueno,APARTAMENTO,119²,3,4,2,1220000.0,"Rua T 37, sn",https://www.chavesnamao.com.br/imovel/apartamento-a-venda-3-quartos-com-garagem-go-goiania-setor-bueno-119m2-RS1220000/id-32032401/
Goiania,GO,Setor Goiânia 2,APARTAMENTO,80²,1,1,, 1800Iptu: 50,Avenida Boulevard Conde Dos Arcos,https://www.chavesnamao.com.br/imovel/apartamento-para-alugar-1-quarto-com-garagem-go-goiania-setor-goiania-2-100m2-RS1800/id-28840045/
Goiania,GO,Setor Pedro Ludovico,APARTAMENTO,110²,3,3,, 550000Iptu: 100,Rua 1025,https://www.chavesnamao.com.br/imovel/apartamento-a-venda-3-quartos-com-garagem-go-goiania-setor-pedro-ludovico-RS550000/id-29351553/
Goiania,GO,Vila Viana,APARTAMENTO,65²,3,2,2, 2176Cond: 450,Rua 402,https://www.chavesnamao.com.br/imovel/apartamento-para-alugar-3-quartos-com-garagem-go-goiania-vila-viana-65m2-RS2176/id-31919385/
Goiania,GO,Jardins Madri,JARDINS,190²,3,5,4, 1990000Cond: 700,"Rua Madri 36, 1",https://www.chavesnamao.com.br/imovel/casa-em-condominio-a-venda-3-quartos-com-garagem-go-goiania-jardins-madri-370m2-RS1990000/id-31139379/
Goiania,GO,Setor Sul,CASA,400²,4,5,4, 8400Iptu: 250,Rua 131,https://www.chavesnamao.com.br/imovel/casa-para-alugar-4-quartos-com-garagem-go-goiania-setor-sul-400m2-RS8400/id-31880077/
Goiania,GO,Jardim Goiás,APARTAMENTO,47²,1,2,, 574268Cond: 100,"Avenida H, 1",https://www.chavesnamao.com.br/imovel/apartamento-a-venda-1-quarto-com-garagem-go-goiania-jardim-goias-47m2-RS574268/id-31445491/
Goiania,GO,Setor Leste Universitário,APARTAMENTO,,1,1,, 1430Cond: 250,"225, 695",https://www.chavesnamao.com.br/imovel/apartamento-para-alugar-1-quarto-com-garagem-go-goiania-setor-leste-universitario-RS1430/id-30928311/
Goiania,GO,Jardins Lisboa,CASA,200²,4,4,4,1790000.0,Endereço indisponível,https://www.chavesnamao.com.br/imovel/casa-em-condominio-a-venda-4-quartos-com-garagem-go-goiania-jardins-lisboa-200m2-RS1790000/id-30800631/
Goiania,GO,Parque Amazônia,PARQUE,43²,2,1,, 1650Cond: 350,Avenida Padre Orlando Morais,https://www.chavesnamao.com.br/imovel/apartamento-para-alugar-2-quartos-com-garagem-go-goiania-parque-amazonia-RS1650/id-30787740/
Goiania,GO,Residencial Aldeia do Vale,CASA,2537²,4,4,,5800000.0,Avenida Floresta,https://www.chavesnamao.com.br/imovel/casa-em-condominio-a-venda-4-quartos-go-goiania-residencial-aldeia-do-vale-2537m2-RS5800000/id-30037526/
Goiania,GO,Parque Oeste Industrial,ALUGUE,54²,2,2,, 1600Cond: 310,"Rua Das Camélias, 475",https://www.chavesnamao.com.br/imovel/apartamento-para-alugar-2-quartos-com-garagem-go-goiania-parque-oeste-industrial-78m2-RS1600/id-31948339/
Goiania,GO,Nossa Senhora de Fátima,CONDOMÍNIO,67²,2,1,, 220000Cond: 220,Avenida Consolação,https://www.chavesnamao.com.br/imovel/apartamento-a-venda-2-quartos-com-garagem-go-goiania-nossa-senhora-de-fatima-67m2-RS220000/id-27927775/
Goiania,GO,Serrinha,APARTAMENTO,102²,3,4,2, 2784Cond: 758,Rua T-36 - Setor Bueno Goiânia - Go Brasil,https://www.chavesnamao.com.br/imovel/apartamento-para-alugar-3-quartos-com-garagem-go-goiania-serrinha-102m2-RS2784/id-31886739/
Goiania,GO,Setor Bela Vista,APARTAMENTO,54²,2,1,, 3000Cond: 629,Rua S-6,https://www.chavesnamao.com.br/imovel/apartamento-para-alugar-2-quartos-com-garagem-go-goiania-setor-bela-vista-54m2-RS3000/id-31894637/
Goiania,GO,Parque Amazônia,CASA,374²,3,2,4,599000.0,"Rua Caraxuê, 77",https://www.chavesnamao.com.br/imovel/casa-a-venda-3-quartos-com-garagem-go-goiania-parque-amazonia-420m2-RS599000/id-25716790/
Goiania,GO,Jardim Goiás,APARTAMENTO,68²,3,2,, 1790Cond: 550,Avenida E,https://www.chavesnamao.com.br/imovel/apartamento-para-alugar-3-quartos-com-garagem-go-goiania-jardim-goias-98m2-RS1790/id-31114739/
Goiania,GO,Jardim Planalto,CASA,240²,3,4,5, 690000Iptu: 780,Rua Incas,https://www.chavesnamao.com.br/imovel/casa-a-venda-3-quartos-com-garagem-go-goiania-jardim-planalto-300m2-RS690000/id-16819557/
Goiania,GO,Setor Oeste,APARTAMENTO,50²,1,1,,2900.0,Endereço indisponível,https://www.chavesnamao.com.br/imovel/apartamento-para-alugar-1-quarto-com-garagem-go-goiania-setor-oeste-50m2-RS2900/id-30383734/
Goiania,GO,Parque Amazônia,ILHA,160²,3,4,2, 1350000Cond: 1200,"Alameda Imbé, 409",https://www.chavesnamao.com.br/imovel/casa-em-condominio-a-venda-3-quartos-com-garagem-go-goiania-parque-amazonia-276m2-RS1350000/id-32032808/
Goiania,GO,Setor Leste Universitário,APARTAMENTO,,1,1,, 1000Cond: 200,"227-a, 132",https://www.chavesnamao.com.br/imovel/apartamento-para-alugar-1-quarto-go-goiania-setor-leste-universitario-RS1000/id-31931536/
Goiania,GO,Parque Amazônia,RESIDENCIAL,62²,2,1,,446900.0,Avenida Jandiá,https://www.chavesnamao.com.br/imovel/apartamento-a-venda-2-quartos-com-garagem-go-goiania-parque-amazonia-62m2-RS446900/id-30639561/
