estado,cidade,bairro,tipo,m2,quartos,banheiros,garagem,mobilia,ano,valor
GO,Goiânia,JARDINS VALÊNCIA,Casa,344.0,5,6,4,Nao,2020,3690000.0
GO,Goiânia,FAZENDA GAMELEIRA,Casa,308.0,4,6,2,Nao,2020,3800000.0
GO,Goiânia,FAZENDA VAU DAS POMBAS,Casa,360.0,4,6,0,Nao,2020,3600000.0
GO,Goiânia,RESIDENCIAL ALDEIA DO VALE,Casa,371.0,4,7,3,Nao,2020,3800000.0
GO,Goiânia,JARDINS VERONA,Casa,370.0,3,6,4,Nao,2020,3999000.0
GO,Goiânia,ALPHAVILLE,Casa,406.0,4,8,4,Nao,2020,3850000.0
GO,Goiânia,JARDINS VALÊNCIA,Casa,300.0,4,6,4,Nao,2020,3100000.0
GO,Goiânia,FAZENDA VAU DAS POMBAS,Casa,347.0,4,7,4,Nao,2020,3500000.0
GO,Goiânia,FAZENDA VAU DAS POMBAS,Casa,278.0,3,5,4,Nao,2020,3500000.0
GO,Goiânia,FAZENDA VAU DAS POMBAS,Casa,335.0,3,6,0,Nao,2020,4000000.0
GO,Goiânia,JARDINS FRANÇA,Casa,378.0,4,6,4,Nao,2020,3500000.0
GO,Goiânia,FAZENDA VAU DAS POMBAS,Casa,346.0,4,6,6,Nao,2020,3990000.0
GO,Goiânia,JARDINS FRANÇA,Casa,288.0,4,5,4,Nao,2020,3500000.0
GO,Goiânia,FAZENDA VAU DAS POMBAS,Casa,290.0,3,5,0,Nao,2020,3300000.0
GO,Goiânia,RESIDENCIAL GOIÂNIA GOLFE CLUBE,Casa,365.0,4,6,4,Nao,2020,3500000.0
GO,Goiânia,FAZENDA VAU DAS POMBAS,Casa,410.0,4,7,6,Nao,2020,3999000.0
GO,Goiânia,JARDINS VERONA,Casa,244.0,3,4,4,Nao,2020,3890000.0
GO,Goiânia,JARDINS MILÃO,Casa,420.0,4,8,4,Nao,2020,4500000.0
GO,Goiânia,JARDINS FRANÇA,Casa,356.0,4,6,4,Nao,2020,4300000.0
GO,Goiânia,JARDINS FRANÇA,Casa,351.0,5,7,4,Nao,2020,4100000.0
GO,Goiânia,JARDINS FRANÇA,Casa,368.0,4,8,4,Nao,2020,4380000.0
GO,Goiânia,JARDINS VERONA,Casa,385.0,5,6,0,Nao,2020,4300000.0
GO,Goiânia,JARDINS FRANÇA,Casa,369.92,4,6,4,Nao,2020,4500000.0
